English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
"explanation, declaration",B1,die,Erklärung,,Darstellung zum Verständnis,,Die Erklärung des Professors war sehr ausführlich.,The professor’s explanation was very detailed.,
experience,B1,verb,erleben,,etwas bewusst miterleben,,Ich möchte in meinem Leben viele Abenteuer erleben.,I want to experience many adventures in my life.,
experience,B1,das,Erlebnis,,besondere Erfahrung im Leben,,Das Konzert war ein unvergessliches Erlebnis.,The concert was an unforgettable experience.,
food,A1,das,Essen,,Mahlzeit,,Das Essen ist warm.,The food is warm.,
eat,A1,verb,essen,,Nahrung aufnehmen,,Wir essen zusammen.,We eat together.,
ethical,B2,adjective,ethisch,,auf Regeln der Moral bezogen,,"Viele zweifeln daran, ob sein Verhalten wirklich ethisch korrekt war.",Many doubt whether his behavior was really ethically correct.,
drive,A1,verb,fahren,,sich mit Fahrzeug bewegen,,Ich fahre nach Berlin.,I’m going to Berlin.,
journey,A2,die,Fahrt,,Reise mit Fahrzeug,,Die Fahrt nach Berlin dauert zwei Stunden.,The trip to Berlin takes two hours.,
enemy,B1,der,Feind,,Gegner oder Angreifer,,Er betrachtet den alten Nachbarn als seinen Feind.,He regards the old neighbor as his enemy.,
fire,A1,das,Feuer,,heiße Flamme,,Das Feuer ist heiß.,The fire is hot.,
fireworks,B1,das,Feuerwerk,,bunte Explosion am Himmel,,Zum Fest gab es ein großes Feuerwerk am Himmel.,At the festival there was a big fireworks display in the sky.,
find,A1,verb,finden,,etwas entdecken,,Ich finde den Schlüssel.,I find the key.,
bottle,A1,die,Flasche,,Gefäß für Flüssigkeiten,,Die Flasche ist leer.,The bottle is empty.,
airplane,A1,das,Flugzeug,,Fluggerät,,Das Flugzeug ist groß.,The airplane is big.,
question,A1,die,Frage,,Satz zur Information,,Ich habe eine Frage.,I have a question.,
France,A1,das,Frankreich,,Land in Westeuropa,,Frankreich ist schön.,France is beautiful.,
"woman, wife",A1,die,Frau,,weibliche Person,,Die Frau lacht.,The woman laughs.,
foreign,A2,adjective,fremd,,nicht bekannt oder nicht aus dem eigenen Land,,Ich fühle mich hier fremd.,I feel like a stranger here.,
friend,A1,der,Freund,,enger Bekannter,,Mein Freund wohnt hier.,My friend lives here.,
fruit,,die,Frucht,,,,,,
five,A1,numeral,fünf,,Zahl nach vier minus eins,,Ich habe fünf Euro.,I have five euros.,
"quite, completely",A1,adverb,ganz,,vollständig,,Das ist ganz gut.,That is quite good.,
building,A2,das,Gebäude,,Bauwerk zum Wohnen oder Arbeiten,,Das Gebäude ist über hundert Jahre alt.,The building is over a hundred years old.,
prison,B1,das,Gefängnis,,"Ort, wo Straftäter festgehalten werden",,Der Mann musste fünf Jahre im Gefängnis verbringen.,The man had to spend five years in prison.,
feeling,B1,das,Gefühl,,innerer Zustand wie Freude oder Trauer,,Nach der Nachricht hatte ich ein seltsames Gefühl.,After the news I had a strange feeling.,
secret,B1,das,Geheimnis,,"etwas, das verborgen bleibt",,Sie konnte das Geheimnis lange bewahren.,She was able to keep the secret for a long time.,
intellect,B2,der,Geist,,Verstand oder Seele des Menschen,,Der Geist des alten Philosophen prägt noch heute die Debatten.,The mind of the old philosopher still shapes debates today.,
intellectual,C,adjective,geistvoll,,mit Verstand und Ideen gefüllt,,Die geistvolle Rede verband Humor mit scharfer Kritik.,The witty speech combined humor with sharp criticism.,
opportunity,B1,die,Gelegenheit,,günstige Situation,,"Er nutzte die Gelegenheit, um mit ihr zu sprechen.",He used the opportunity to speak with her.,
occasional,,adjective,gelegentlich,,,,,,
"story, history",A2,die,Geschichte,,Ereignisse aus der Vergangenheit oder Erzählung,,Die Geschichte handelt von einem König.,The story is about a king.,
face,A1,das,Gesicht,,Vorderseite des Kopfes,,Das Gesicht ist rund.,The face is round.,
conversation,A2,das,Gespräch,,Unterhaltung zwischen Personen,,Das Gespräch mit dem Chef war lang.,The conversation with the boss was long.,
habit,B1,die,Gewohnheit,,regelmäßiges Verhalten,,Früh aufzustehen ist für ihn eine feste Gewohnheit.,Getting up early is a fixed habit for him.,
"vulgar, common",B1,adjective,gewöhnlich,,wie es meistens geschieht,,An einem gewöhnlichen Tag trinkt sie nur Kaffee.,On an ordinary day she drinks only coffee.,
believe,A1,verb,glauben,,etwas für wahr halten,,Ich glaube dir.,I believe you.,
gold,A2,das,Gold,,wertvolles gelbes Metall,,Der Ring ist aus purem Gold.,The ring is made of pure gold.,
god,B1,der,Gott,,höchstes Wesen in Religionen,,Viele Menschen glauben an einen Gott.,Many people believe in a god.,
horrible,B2,adjective,grausam,,anderen Leid zufügend,,Das war eine grausame Strafe für ein so kleines Vergehen.,That was a cruel punishment for such a small offense.,
large,A1,adjective,groß,,nicht klein,,Das Haus ist groß.,The house is big.,
green,A1,adjective,grün,,Farbe der Pflanzen,,Das Gras ist grün.,The grass is green.,
reason,A2,der,Grund,,Ursache oder Anlass,,Der Grund für die Verspätung war der Regen.,The reason for the delay was the rain.,
good,A1,adjective,gut,,"positiv, angenehm",,Das Essen ist gut.,The food is good.,
credit,B1,das,Guthaben,,Geldbetrag auf einem Konto,,Das Guthaben auf meinem Konto ist fast leer.,The balance on my account is almost empty.,
have,A1,verb,haben,,besitzen,,Ich habe ein Buch.,I have a book.,
hand,A1,die,Hand,,Körperteil zum Greifen,,Die Hand ist klein.,The hand is small.,
hatred,B2,der,Hass,,starkes negatives Gefühl gegen jemanden,,Sein Hass auf die Gegner wuchs mit jedem Tag.,His hatred for the opponents grew with every day.,
ugly,A1,adjective,hässlich,,nicht schön,,Das ist hässlich.,That is ugly.,
capital city,A2,die,Hauptstadt,,wichtigste Stadt eines Landes,,Berlin ist die Hauptstadt von Deutschland.,Berlin is the capital of Germany.,
skin,A2,die,Haut,,äußere Schicht des Körpers,,Die Haut ist im Sommer oft braun.,The skin is often brown in summer.,
challenge,B2,die,Herausforderung,,"große, schwierige Aufgabe",,"Die größte Herausforderung bestand darin, das Projekt rechtzeitig abzuschließen.",The greatest challenge was to finish the project on time.,
rule,B2,die,Herrschaft,,Macht über Menschen oder Gebiet,,Die Herrschaft des Königs dauerte fast vierzig Jahre.,The king’s reign lasted almost forty years.,
help,A1,die,Hilfe,,Unterstützung geben,,Danke für die Hilfe.,Thanks for the help.,
helpful,B1,adjective,hilfreich,,"etwas, das Unterstützung gibt",,Dein Tipp war sehr hilfreich für meine Arbeit.,Your tip was very helpful for my work.,
high,A1,adjective,hoch,,nicht niedrig,,Der Berg ist hoch.,The mountain is high.,
wood,A2,das,Holz,,Material von Bäumen,,Der Tisch ist aus Holz gemacht.,The table is made of wood.,
hear,A1,verb,hören,,mit den Ohren wahrnehmen,,Ich höre Musik.,I hear music.,
dog,A1,der,Hund,,"Tier, das bellt",,Der Hund schläft.,The dog is sleeping.,
hat,A1,der,Hut,,Kopfbedeckung,,Der Hut ist neu.,The hat is new.,
I,A1,pronoun,ich,,erste Person Singular,,Ich heiße Anna.,My name is Anna.,
you,A1,pronoun,ihr,,zweite Person Plural,,Ihr seid nett.,You (plural) are nice.,
island,A1,der,Insel,,Land im Meer,,Die Insel ist klein.,The island is small.,
year,A1,das,Jahr,,zwölf Monate,,Das Jahr ist lang.,The year is long.,
capital,B2,das,Kapital,,Vermögen oder Geldmittel,,Das Kapital des Unternehmens wurde verdoppelt.,The company’s capital was doubled.,
cheese,A1,der,Käse,,Milchprodukt,,Der Käse ist teuer.,The cheese is expensive.,
cat,A1,die,Katze,,kleines Haustier,,Die Katze schläft.,The cat is sleeping.,
child,A1,das,Kind,,junger Mensch,,Das Kind spielt.,The child is playing.,
childish,B2,adjective,kindisch,,wie ein Kind handelnd,,Sein kindisches Verhalten machte die ernste Situation noch peinlicher.,His childish behavior made the serious situation even more embarrassing.,
clear,A1,adjective,klar,,deutlich sichtbar,,Das ist klar.,That is clear.,
dress,A1,das,Kleid,,Kleidung für Frauen,,Das Kleid ist schön.,The dress is beautiful.,
clothing,A1,die,Kleidung,,Gesamtheit der Sachen zum Anziehen,,Die Kleidung ist billig.,The clothing is cheap.,
small,A1,adjective,klein,,nicht groß,,Das Kind ist klein.,The child is small.,
come,A1,verb,kommen,,sich nähern,,Ich komme heute.,I am coming today.,
"can, be able to",A1,verb,können,,fähig sein,,Ich kann schwimmen.,I can swim.,
head,A1,der,Kopf,,oberer Teil des Körpers,,Mein Kopf tut weh.,My head hurts.,
body,A1,der,Körper,,Gesamtheit des Körpers,,Der Körper ist warm.,The body is warm.,
sick,A1,adjective,krank,,nicht gesund,,Er ist krank.,He is sick.,
sickness,A2,die,Krankheit,,"Zustand, in dem man nicht gesund ist",,Die Krankheit dauert schon eine Woche.,The illness has already lasted a week.,
crisis,B2,die,Krise,,schwierige Situation mit Gefahr,,Die Krise führte zu massiven wirtschaftlichen Problemen.,The crisis led to massive economic problems.,
culture,B1,die,Kultur,,"Gesamtheit von Sitten, Kunst und Wissen",,Die Kultur des Landes interessiert mich sehr.,The culture of the country interests me very much.,
art,A2,die,Kunst,,"Gestaltung von Formen, Farben oder Tönen",,Die Kunst in diesem Museum ist modern.,The art in this museum is modern.,
artist,B1,der,Künstler,,"Person, die künstlerisch arbeitet",,Der Künstler stellte seine Bilder in einer Galerie aus.,The artist exhibited his pictures in a gallery.,
country,A1,das,Land,,politische Einheit,,Das Land ist groß.,The country is big.,
live,A1,verb,leben,,existieren,,Wir leben in Oslo.,We live in Oslo.,
life,A2,das,Leben,,Zeit zwischen Geburt und Tod,,Das Leben in der Stadt ist manchmal laut.,Life in the city is sometimes loud.,
liver,C,der,Leber,,Organ im Körper zur Blutreinigung,,Nach dem Unfall versagte die Leber und musste transplantiert werden.,"After the accident, the liver failed and had to be transplanted.",
teacher,A1,der,Lehrer,,"Person, die lehrt",,Der Lehrer spricht.,The teacher is speaking.,
suffer,B1,verb,leiden,,Schmerz oder Kummer ertragen,,Viele Menschen leiden an Stress im Alltag.,Many people suffer from stress in everyday life.,
passion,B2,die,Leidenschaft,,starkes Gefühl für etwas oder jemanden,,Seine Leidenschaft für Musik bestimmte sein ganzes Leben.,His passion for music shaped his entire life.,
passionate,B2,adjective,leidenschaftlich,,voll von starkem Gefühl,,Sie sprach mit leidenschaftlicher Stimme über Gerechtigkeit.,She spoke with a passionate voice about justice.,
light,A1,das,Licht,,Helligkeit,,Das Licht ist hell.,The light is bright.,
left,B2,die,Linke,,linke politische Richtung,,Die Linke forderte neue soziale Programme.,The left demanded new social programs.,
left,A2,adjective,links,,auf der linken Seite befindlich,,Die Tasche liegt links neben dem Stuhl.,The bag is lying to the left of the chair.,
air,A1,die,Luft,,"Gas, das man atmet",,Die Luft ist frisch.,The air is fresh.,
airport,A2,der,Lufthafen,,Platz für Flugzeuge,,Am Lufthafen warten viele Passagiere.,At the airport many passengers are waiting.,
"make, do",A1,verb,machen,,etwas tun,,Ich mache die Tür zu.,I close the door.,
sometimes,A1,adverb,manchmal,,"nicht oft, gelegentlich",,Ich gehe manchmal ins Kino.,I sometimes go to the cinema.,
"man, husband",A1,der,Mann,,erwachsene männliche Person,,Der Mann liest.,The man is reading.,
team,A2,die,Mannschaft,,Gruppe von Spielern,,Unsere Mannschaft hat das Spiel gewonnen.,Our team won the game.,
sea,A1,das,Meer,,großes Gewässer,,Das Meer ist blau.,The sea is blue.,
human being,A2,der,Mensch,,Individuum der Gattung Homo sapiens,,Jeder Mensch braucht Wasser.,Every human being needs water.,
knife,A2,das,Messer,,Werkzeug zum Schneiden,,Das Messer ist sehr scharf.,The knife is very sharp.,
with,A1,preposition,mit,,zeigt Begleitung an,,Ich gehe mit dir.,I’m going with you.,
possible,B1,adjective,möglich,,durchführbar oder denkbar,,"Es ist möglich, dass er heute noch kommt.",It is possible that he will still come today.,
possibility,B1,die,Möglichkeit,,"Gelegenheit, etwas zu tun",,"Wir haben die Möglichkeit, ins Ausland zu reisen.",We have the opportunity to travel abroad.,
moral,B2,adjective,moralisch,,auf Moral bezogen,,Viele sehen sein Verhalten als moralisch fragwürdig an.,Many see his behavior as morally questionable.,
mouth,A1,der,Mund,,Teil des Gesichts zum Sprechen,,Der Mund ist offen.,The mouth is open.,
music,A1,die,Musik,,Kunst mit Tönen,,Die Musik ist schön.,The music is beautiful.,
"must, need to",A1,verb,müssen,,Pflicht haben,,Ich muss gehen.,I must go.,
after,A1,preposition,nach,,zeigt Richtung an,,Ich gehe nach Hause.,I’m going home.,
nose,A1,die,Nase,,Teil des Gesichts zum Riechen,,Die Nase ist klein.,The nose is small.,
nation,B2,die,Nation,,Gemeinschaft von Menschen in einem Land,,Die Nation war durch den Krieg tief gespalten.,The nation was deeply divided by the war.,
take,A1,verb,nehmen,,in Besitz nehmen,,Ich nehme den Zug.,I take the train.,
"tend, tilt, bend",B2,verb,neigen,,eine Tendenz haben,,"Er neigt dazu, alles zu komplizieren.",He tends to complicate everything.,
inclination,B2,die,Neigung,,innere Ausrichtung oder Vorliebe,,Ihre Neigung zur Literatur zeigte sich schon in der Kindheit.,Her inclination toward literature showed itself already in childhood.,
novelty,B2,die,Neuheit,,etwas Neues,,Die Neuheit des Produkts weckte sofort großes Interesse.,The novelty of the product immediately aroused great interest.,
not,A1,adverb,nicht,,zeigt Verneinung,,Ich bin nicht müde.,I am not tired.,
never,A1,adverb,nie,,kein Mal,,Ich komme nie spät.,I never come late.,
still,A1,adverb,noch,,immer noch,,Ich habe noch Zeit.,I still have time.,
useful,B1,adjective,nützlich,,praktisch brauchbar,,Ein Wörterbuch ist beim Lernen sehr nützlich.,A dictionary is very useful when learning.,
reveal,B2,verb,offenbaren,,etwas sichtbar machen,,Sein Verhalten offenbarte eine tiefe Unsicherheit.,His behavior revealed a deep insecurity.,
orange,A1,die,Orange,,"Frucht, rund und orange",,Die Orange ist süß.,The orange is sweet.,
party,A2,die,Partei,,politische Vereinigung von Menschen,,Die Partei hat viele Mitglieder.,The party has many members.,
person,A1,die,Person,,Mensch,,Die Person wartet.,The person is waiting.,
plant,A2,die,Pflanze,,lebendes Gewächs mit Wurzeln und Blättern,,Die Pflanze wächst im Garten.,The plant is growing in the garden.,
politics,B1,die,Politik,,Lehre von der Staatsführung,,Die Politik im Land verändert sich gerade stark.,The politics in the country are changing a lot right now.,
politician,B1,der,Politiker,,Person in staatlicher Verantwortung,,Der Politiker sprach lange im Parlament.,The politician spoke at length in parliament.,
political,B1,adjective,politisch,,auf den Staat oder seine Ordnung bezogen,,Die Diskussion war sehr politisch geprägt.,The discussion was strongly politically influenced.,
portrait,B2,das,Porträt,,Abbild eines Menschen,,Das Porträt zeigt einen Mann mit ernstem Blick.,The portrait shows a man with a serious expression.,
private,B1,adjective,privat,,"persönlich, nicht öffentlich",,Sie möchte ihr Privatleben schützen.,She wants to protect her private life.,
problem,A2,das,Problem,,schwierige Frage oder Aufgabe,,Das Problem ist schwer zu lösen.,The problem is hard to solve.,
professor,B2,der,Professor,,Lehrer an einer Hochschule,,Der Professor veröffentlichte ein neues Fachbuch.,The professor published a new academic book.,
"race, breed",B2,die,Rasse,,Gruppe mit gemeinsamen Merkmalen bei Lebewesen,,Die Rasse des Hundes erkennt man an seinem Fell.,You can recognize the dog’s breed by its coat.,
calculator,B1,der,Rechner,,technisches Gerät zur Berechnung,,Mein Rechner ist alt und funktioniert nicht mehr gut.,My computer is old and doesn’t work well anymore.,
right,A2,adjective,rechts,,auf der rechten Seite befindlich,,Die Lampe steht rechts vom Fenster.,The lamp is standing to the right of the window.,
rain,A1,der,Regen,,Wasser fällt vom Himmel,,Der Regen fällt.,The rain is falling.,
govern,B2,verb,regieren,,ein Land führen,,Er regierte das Land mit harter Hand.,He ruled the country with a firm hand.,
government,B1,die,Regierung,,Führung eines Landes,,Die Regierung plant neue Gesetze.,The government is planning new laws.,
rich,A2,adjective,reich,,viel Geld oder Besitz habend,,Er ist sehr reich und besitzt viele Häuser.,He is very rich and owns many houses.,
realm,B2,das,Reich,,großes Gebiet mit gemeinsamer Herrschaft,,Das Reich zerfiel nach vielen Jahrhunderten.,The empire collapsed after many centuries.,
religion,B1,die,Religion,,Glaube an übernatürliche Kräfte,,Religion spielt in vielen Ländern eine wichtige Rolle.,Religion plays an important role in many countries.,
republic,B2,die,Republik,,Staatsform mit gewähltem Oberhaupt,,Die Republik wurde nach der Revolution gegründet.,The republic was founded after the revolution.,
revolution,B2,die,Revolution,,grundlegende politische Umwälzung,,Die Revolution brachte grundlegende Veränderungen.,The revolution brought fundamental changes.,
wheelchair,B2,der,Rollstuhl,,Fahrstuhl für Menschen ohne Gehvermögen,,"Der Rollstuhl ermöglicht ihm, sich wieder frei zu bewegen.",The wheelchair enables him to move freely again.,
red,A1,adjective,rot,,Farbe des Blutes,,Die Blume ist rot.,The flower is red.,
quiet,A2,adjective,ruhig,,ohne Lärm oder Aufregung,,Nach dem Streit war es wieder ruhig.,"After the argument, it was quiet again.",
"say, tell",A1,verb,sagen,,Worte sprechen,,Er sagt die Wahrheit.,He tells the truth.,
disc,B1,die,Scheibe,,rundes flaches Stück,,Die Scheibe war durch einen Stein zerbrochen.,The windowpane was broken by a stone.,
"fate, destiny",B2,das,Schicksal,,vorgegebener Lauf des Lebens,,"Er glaubte, sein Schicksal sei bereits entschieden.",He believed his fate was already decided.,
bad,A1,adjective,schlecht,,nicht gut,,Das Wetter ist schlecht.,The weather is bad.,
bad,A1,adjective,schlimm,,sehr schlecht,,Das ist schlimm.,That is terrible.,
already,A1,adverb,schon,,bereits,,Ich bin schon hier.,I am already here.,
beautiful,A1,adjective,schön,,optisch angenehm,,Das Kleid ist schön.,The dress is beautiful.,
creator,C,der,Schöpfer,,"jemand, der etwas Neues schafft",,Der Schöpfer des Romans wollte damit die Grenzen der Sprache austesten.,The creator of the novel wanted to test the limits of language.,
fright,B2,der,Schreck,,plötzliche starke Angst,,Der plötzliche Schreck ließ ihn erstarren.,The sudden fright made him freeze.,
frightful,A2,adjective,schrecklich,,sehr schlimm,,Der Film war schrecklich langweilig.,The film was terribly boring.,
black,A1,adjective,schwarz,,Farbe der Nacht,,Der Hund ist schwarz.,The dog is black.,
soul,B2,die,Seele,,unsterblicher Teil des Menschen,,Viele sehen die Seele als unsterblich an.,Many see the soul as immortal.,
see,,verb,sehen,,,,,,
be,A1,verb,sein,,existieren,,Ich bin Student.,I am a student.,
she,A1,pronoun,sie,,weibliche Person Singular,,Sie ist meine Mutter.,She is my mother.,
they,A1,pronoun,sie,,mehrere Personen,,Sie wohnen hier.,They live here.,
you,A1,pronoun,Sie,,Höflichkeitsform für zweite Person,,Sie kommen morgen.,They are coming tomorrow.,
signal,B1,das,Signal,,Zeichen zur Warnung oder Information,,Die Ampel gab das grüne Signal.,The traffic light gave the green signal.,
"meaning, sense",B2,der,Sinn,,Bedeutung oder Zweck,,Der Sinn dieser Übung ist nicht sofort erkennbar.,The purpose of this exercise is not immediately clear.,
sun,A1,die,Sonne,,Stern am Himmel am Tag,,Die Sonne scheint.,The sun is shining.,
sunlight,B1,das,Sonnenlicht,,Strahlen der Sonne,,Durch das Fenster fiel helles Sonnenlicht.,Bright sunlight came through the window.,
socialism,B2,der,Sozialismus,,politische Lehre vom Gemeineigentum,,Der Sozialismus hat die Geschichte vieler Länder geprägt.,Socialism has shaped the history of many countries.,
"fun, amusement",A2,der,Spaß,,Gefühl von Freude oder Vergnügen,,Das Spiel macht uns viel Spaß.,The game gives us a lot of fun.,
game,A1,das,Spiel,,Tätigkeit zur Unterhaltung,,Das Spiel ist lustig.,The game is fun.,
play,A1,verb,spielen,,sich beschäftigen zum Spaß,,Wir spielen Fußball.,We play soccer.,
language,A1,die,Sprache,,System von Wörtern,,Die Sprache ist schwer.,The language is hard.,
speak,A1,verb,sprechen,,sich mit Worten ausdrücken,,Ich spreche Deutsch.,I speak German.,
state,B1,der,Staat,,politische Organisation eines Landes,,Der Staat garantiert die Rechte seiner Bürger.,The state guarantees the rights of its citizens.,
city,A1,die,Stadt,,große Siedlung,,Die Stadt ist groß.,The city is big.,
statement,B2,das,Statement,,kurze öffentliche Erklärung,,Das Statement der Firma klang unaufrichtig.,The company’s statement sounded insincere.,
stone,A1,der,Stein,,hartes Stück Erde,,Der Stein ist hart.,The stone is hard.,
